target_id	length	eff_length	est_counts	tpm
NR_001477	163	22.308	0	0
NM_058260	705	436.523	0	0
NM_058259	372	130.955	0	0
NM_001306277	171	24.4404	0	0
NM_001306279	825	555.222	0	0
NM_001306278	1602	1331.71	0	0
NM_058261	1695	1424.71	0	0
NM_058262	1686	1415.71	0	0
NM_058263	1425	1154.71	0	0
NR_049898	21	6	0	0
NM_058264	732	463.038	0	0
NM_001026606	651	383.552	0	0
NM_058265	1341	1070.71	0	0
NM_001306235	942	671.963	0	0
NM_058267	3482	3211.71	0	0
NM_001306233	1875	1604.71	0	0
NM_001026607	1620	1349.71	0	0
NR_070190	40	13.6667	0	0
NM_001306234	132	17.6404	0	0
NM_001306236	2412	2141.71	0	0
NM_058269	672	404.092	0	0
NM_182095	1245	974.709	0	0
NM_001306237	294	76.5472	0	0
NM_058270	312	85.3862	0	0
NM_058271	1365	1094.71	0	0
NM_001261860	285	72.5121	0	0
NM_001306238	4536	4265.71	0	0
NM_001306239	4551	4280.71	0	0
NM_058274	636	369.059	0	0
NR_049899	221	39.6819	0	0
NR_049900	149	20.3957	0	0
NM_058275	735	466.038	0	0
NR_049901	150	19.8382	0	0
NR_002606	134	17.2281	0	0
NM_001306336	759	489.739	0	0
NM_001083133	237	47.4771	0	0
NM_058277	534	272.484	0	0
NR_049902	21	6	0	0
NM_058278	984	713.839	0	0
NM_001306335	777	507.694	0	0
NM_058279	1539	1268.71	0	0
NM_058280	1332	1061.71	0	0
NM_001026318	1248	977.709	0	0
NM_001306334	543	280.647	0	0
NM_058282	1053	782.709	0	0
NM_058283	4512	4241.71	0	0
NM_058285	4494	4223.71	0	0
NM_001306284	2010	1739.71	0	0
NM_058286	2463	2192.71	0	0
NM_182061	1686	1415.71	0	0
NM_058287	1647	1376.71	0	0
NR_131341	1696	1425.71	0	0
NM_001129013	675	407.055	0	0
NM_058288	693	424.716	0	0
NM_058289	486	229.182	0	0
NM_001306285	7137	6866.71	0	0
NM_001306286	5106	4835.71	0	0
NM_001026605	960	689.901	0	0
NM_058294	957	686.963	0	0
NM_058301	3780	3509.71	0	0
NM_058302	336	102.544	0	0
NM_058305	1278	1007.71	0	0
NM_058307	1644	1373.71	0	0
NR_101513	117	18.7889	0	0
NR_049904	21	6	0	0
NR_049905	21	6	0	0
NM_058308	222	40.2421	0	0
NM_058309	765	495.694	0	0
NM_001306291	456	202.143	0	0
NM_001306288	867	596.963	0	0
NM_001306287	906	635.963	0	0
NM_001306290	561	297.532	0	0
NM_001306289	972	701.839	0	0
NM_058310	1011	740.709	0	0
NM_058311	1263	992.709	0	0
NM_058312	1257	986.709	0	0
NM_001261901	1170	899.709	0	0
NM_182074	1068	797.709	0	0
NM_001306292	1791	1520.71	0	0
NM_058313	1929	1658.71	0	0
NM_058314	3279	3008.71	0	0
NM_001306332	588	323.012	0	0
NM_058315	2817	2546.71	0	0
NM_170793	2442	2171.71	0	0
NM_058318	1167	896.709	0	0
NM_001129071	1656	1385.71	0	0
NM_001129070	1695	1424.71	0	0
NM_058320	414	165.908	0	0
NM_058321	2868	2597.71	0	0
NM_058323	1752	1656.34	3	1.53903
NM_001306303	555	292.016	0	0
NM_058324	1335	1064.71	0	0
NM_058325	762	492.694	0	0
NM_058326	2139	1868.71	0	0
NM_058327	1572	1301.71	0	0
NM_001261918	1797	1526.71	0	0
NM_001261919	1800	1529.71	0	0
NM_058329	1929	1658.71	0	0
NM_001306333	1500	1229.71	0	0
NM_058330	1221	950.709	0	0
NM_058331	1497	1226.71	0	0
NM_001025812	3666	3395.71	0	0
NM_058333	453	199.62	0	0
NM_058334	1110	839.709	0	0
NR_131342	557	293.829	0	0
NM_058335	1338	1067.71	0	0
NM_001306256	552	289.255	0	0
NM_058336	1380	1109.71	0	0
NM_058337	309	83.4754	0	0
NM_001026495	2364	2093.71	0	0
NM_001306255	2166	1895.71	0	0
NM_001306265	747	477.869	0	0
NM_058339	900	629.963	0	0
NM_058340	975	704.839	0	0
NM_058341	1860	1589.71	0	0
NM_001306264	1725	1454.71	0	0
NM_001306268	519	258.746	0	0
NM_058342	645	377.62	0	0
NM_001306266	2031	1760.71	0	0
NM_058343	2160	1889.71	0	0
NM_001306267	2181	1910.71	0	0
NR_049907	150	19.8382	0	0
NM_001129077	129	18.4918	0	0
NM_001129076	162	22.224	0	0
NR_049910	112	21.4098	0	0
NR_049911	289	74.077	0	0
NM_001261937	282	70.6317	0	0
NR_131343	1131	860.709	0	0
NM_001306348	840	570.121	0	0
