target_id	length	eff_length	est_counts	tpm
NR_001477	163	21.4178	0	0
NM_058260	705	427.03	0	0
NM_058259	372	125.783	0	0
NM_001306277	171	23.7581	0	0
NM_001306279	825	544.635	0	0
NM_001306278	1602	1320.93	0	0
NM_058261	1695	1413.93	0	0
NM_058262	1686	1404.93	0	0
NM_058263	1425	1143.93	0	0
NR_049898	21	9.5	0	0
NM_058264	732	453.424	0	0
NM_001026606	651	374.499	0	0
NM_058265	1341	1059.93	0	0
NM_001306235	942	661.036	0	0
NM_058267	3482	3200.93	0	0
NM_001306233	1875	1593.93	0	0
NM_001026607	1620	1338.93	0	0
NR_070190	40	14.5	0	0
NM_001306234	132	20.9029	0	0
NM_001306236	2412	2130.93	0	0
NM_058269	672	394.821	0	0
NM_182095	1245	963.93	0	0
NM_001306237	294	72.7861	0	0
NM_058270	312	81.5516	0	0
NM_058271	1365	1083.93	0	0
NM_001261860	285	68.1873	0	0
NM_001306238	4536	4254.93	0	0
NM_001306239	4551	4269.93	0	0
NM_058274	636	360.121	0	0
NR_049899	221	38.6178	0	0
NR_049900	149	19.0041	0	0
NM_058275	735	542.864	1	2.19536
NR_049901	150	19.32	0	0
NR_002606	134	20.0149	0	0
NM_001306336	759	479.817	0	0
NM_001083133	237	44.9763	0	0
NM_058277	534	263.158	0	0
NR_049902	21	9.5	0	0
NM_058278	984	702.93	0	0
NM_001306335	777	497.629	0	0
NM_058279	1539	1257.93	0	0
NM_058280	1332	1050.93	0	0
NM_001026318	1248	966.93	0	0
NM_001306334	543	271.408	0	0
NM_058282	1053	771.93	0	0
NM_058283	4512	4230.93	0	0
NM_058285	4494	4212.93	0	0
NM_001306284	2010	1728.93	0	0
NM_058286	2463	2181.93	0	0
NM_182061	1686	1404.93	0	0
NM_058287	1647	1365.93	0	0
NR_131341	1696	1414.93	0	0
NM_001129013	675	397.73	0	0
NM_058288	693	415.385	0	0
NM_058289	486	220.584	0	0
NM_001306285	7137	6855.93	0	0
NM_001306286	5106	4824.93	0	0
NM_001026605	960	679.036	0	0
NM_058294	957	676.036	0	0
NM_058301	3780	3498.93	0	0
NM_058302	336	97.7615	0	0
NM_058305	1278	996.93	0	0
NM_058307	1644	1362.93	0	0
NR_101513	117	25.7324	0	0
NR_049904	21	9.5	0	0
NR_049905	21	9.5	0	0
NM_058308	222	39.0278	0	0
NM_058309	765	485.743	0	0
NM_001306291	456	194.528	0	0
NM_001306288	867	586.508	0	0
NM_001306287	906	625.184	0	0
NM_001306290	561	288.102	0	0
NM_001306289	972	690.983	0	0
NM_058310	1011	729.93	0	0
NM_058311	1263	981.93	0	0
NM_058312	1257	975.93	0	0
NM_001261901	1170	888.93	0	0
NM_182074	1068	786.93	0	0
NM_001306292	1791	1509.93	0	0
NM_058313	1929	1647.93	0	0
NM_058314	3279	2997.93	0	0
NM_001306332	588	313.838	0	0
NM_058315	2817	2535.93	0	0
NM_170793	2442	2160.93	0	0
NM_058318	1167	885.93	0	0
NM_001129071	1656	1374.93	0	0
NM_001129070	1695	1413.93	0	0
NM_058320	414	158.763	0	0
NM_058321	2868	2586.93	0	0
NM_058323	1752	1618.59	6.33071	4.66137
NM_001306303	555	340.226	0.669288	2.34446
NM_058324	1335	1053.93	0	0
NM_058325	762	482.78	0	0
NM_058326	2139	1857.93	0	0
NM_058327	1572	1290.93	0	0
NM_001261918	1797	1515.93	0	0
NM_001261919	1800	1518.93	0	0
NM_058329	1929	1647.93	0	0
NM_001306333	1500	1218.93	0	0
NM_058330	1221	939.93	0	0
NM_058331	1497	1215.93	0	0
NM_001025812	3666	3384.93	0	0
NM_058333	453	191.971	0	0
NM_058334	1110	828.93	0	0
NR_131342	557	284.325	0	0
NM_058335	1338	1056.93	0	0
NM_001306256	552	279.655	0	0
NM_058336	1380	1098.93	0	0
NM_058337	309	79.7451	0	0
NM_001026495	2364	2082.93	0	0
NM_001306255	2166	1884.93	0	0
NM_001306265	747	467.999	0	0
NM_058339	900	619.184	0	0
NM_058340	975	693.983	0	0
NM_058341	1860	1578.93	0	0
NM_001306264	1725	1443.93	0	0
NM_001306268	519	249.509	0	0
NM_058342	645	368.671	0	0
NM_001306266	2031	1749.93	0	0
NM_058343	2160	1878.93	0	0
NM_001306267	2181	1899.93	0	0
NR_049907	150	19.32	0	0
NM_001129077	129	21.0933	0	0
NM_001129076	162	21.2031	0	0
NR_049910	112	30.02	0	0
NR_049911	289	70.16	0	0
NM_001261937	282	66.6063	0	0
NR_131343	1131	849.93	0	0
NM_001306348	840	559.552	0	0
NR_101514	72	26.1765	0	0
NM_058347	582	308.2	0	0
NM_001306344	543	271.408	0	0
NM_001306345	144	18.8356	0	0
NM_058348	588	313.838	0	0
NM_182046	594	319.494	0	0
NR_049912	128	21.5286	0	0
NM_170794	2385	2103.93	0	0
NM_171831	2379	2097.93	0	0
NR_101515	157	20.6811	0	0
NM_001306342	1524	1242.93	0	0
NM_001306343	1518	1236.93	0	0
NM_058350	2730	2448.93	0	0
NR_049913	128	21.5286	0	0
NM_001306340	627	351.23	0	0
NM_001306341	669	391.882	0	0
NM_001306339	828	547.594	0	0
NM_058351	786	506.361	0	0
NM_001306337	657	380.266	0	0
NM_001306338	699	421.128	0	0
NM_058352	1134	852.93	0	0
NM_001026626	444	184.002	0	0
NM_001306346	1278	996.93	0	0
NM_058353	1182	900.93	0	0
NM_182075	1362	1080.93	0	0
NM_001026333	576	302.485	0	0
NM_001306283	213	34.7999	0	0
NM_001261950	5604	5322.93	0	0
NM_001261951	5643	5361.93	0	0
NM_001306280	537	265.847	0	0
NM_001306282	957	676.036	0	0
NM_001306281	1182	900.93	0	0
NM_058356	1365	1083.93	0	0
NM_182059	2571	2289.93	0	0
NM_058357	2664	2382.93	0	0
NM_058358	375	128.006	0	0
NR_101516	213	34.7999	0	0
NR_101517	110	32.6977	8	291.589
NM_001306318	840	559.552	0	0
NM_058360	1200	918.93	0	0
NM_058361	627	351.23	0	0
NM_001306316	1308	1026.93	0	0
NM_001306317	1347	1065.93	0	0
NM_058362	1266	984.93	0	0
NM_001306319	288	69.6707	0	0
NM_058363	471	207.517	0	0
NM_058364	1329	1047.93	0	0
NM_058365	1386	1104.93	0	0
NM_001306320	1176	894.93	0	0
NM_001306321	618	342.552	0	0
NM_001026562	1404	1122.93	0	0
NM_001306249	585	311.008	0	0
NM_182093	819	538.759	0	0
NM_001306251	417	161.127	0	0
NM_001306250	651	374.499	0	0
NM_058367	1305	1023.93	0	0
NM_058368	1452	1170.93	0	0
NM_058369	663	385.972	0	0
NM_058370	813	532.8	0	0
NM_001306240	1830	1548.93	0	0
NM_001306241	2247	1965.93	0	0
NM_001306242	2904	2622.93	0	0
NM_001306243	3921	3639.93	0	0
NM_058371	3777	3495.93	0	0
NM_001306247	144	18.8356	0	0
NM_058372	1110	828.93	0	0
NM_058373	2034	1752.93	0	0
NM_001306245	1716	1434.93	0	0
NM_001306244	1185	903.93	0	0
NM_001306246	243	47.5346	0	0
NM_001026563	1965	1683.93	0	0
NM_001306254	210	33.7872	0	0
NM_001047236	906	625.184	0	0
NM_001306252	705	427.03	0	0
NM_001306253	519	249.509	0	0
NM_058375	1467	1185.93	0	0
NR_072346	85	33.8	0	0
NM_058376	456	194.528	0	0
NM_001306248	195	28.2305	0	0
NM_058377	504	236.338	0	0
NM_001026441	1366	1084.93	0	0
NM_001026440	1518	1236.93	0	0
NM_058379	1740	1458.93	0	0
NM_182009	1821	1539.93	0	0
NR_049918	221	38.6178	13	401.193
NR_049919	146	18.8333	0	0
NR_049921	123	22.3962	0	0
NR_049922	299	74.8042	0	0
NR_049923	144	18.8356	0	0
NM_001306304	4848	4566.93	0	0
