target_id	length	eff_length	est_counts	tpm
NR_001477	163	23.0928	0	0
NM_058260	705	433.592	0	0
NM_058259	372	127.119	0	0
NM_001306277	171	24.0992	0	0
NM_001306279	825	552.101	0	0
NM_001306278	1602	1328.66	0	0
NM_058261	1695	1421.66	0	0
NM_058262	1686	1412.66	0	0
NM_058263	1425	1151.66	0	0
NR_049898	21	6	0	0
NM_058264	732	460.108	0	0
NM_001026606	651	380.645	0	0
NM_058265	1341	1067.66	0	0
NM_001306235	942	668.663	0	0
NM_058267	3482	3208.66	0	0
NM_001306233	1875	1601.66	0	0
NM_001026607	1620	1346.66	0	0
NR_070190	40	14.7273	0	0
NM_001306234	132	23.125	0	0
NM_001306236	2412	2138.66	0	0
NM_058269	672	401.174	0	0
NM_182095	1245	971.663	0	0
NM_001306237	294	73.4746	0	0
NM_058270	312	82.9787	0	0
NM_058271	1365	1091.66	0	0
NM_001261860	285	68.8481	0	0
NM_001306238	4536	4262.66	0	0
NM_001306239	4551	4277.66	0	0
NM_058274	636	366.119	0	0
NR_049899	221	38.4532	0	0
NR_049900	149	20.2996	0	0
NM_058275	735	463.108	0	0
NR_049901	150	20.5807	0	0
NR_002606	134	22.8493	0	0
NM_001306336	759	486.852	0	0
NM_001083133	237	45.6792	0	0
NM_058277	534	268.647	0	0
NR_049902	21	6	0	0
NM_058278	984	710.663	0	0
NM_001306335	777	504.582	0	0
NM_058279	1539	1265.66	0	0
NM_058280	1332	1058.66	0	0
NM_001026318	1248	974.663	0	0
NM_001306334	543	277.096	0	0
NM_058282	1053	779.663	0	0
NM_058283	4512	4238.66	0	0
NM_058285	4494	4220.66	0	0
NM_001306284	2010	1736.66	0	0
NM_058286	2463	2189.66	0	0
NM_182061	1686	1412.66	0	0
NM_058287	1647	1373.66	0	0
NR_131341	1696	1422.66	0	0
NM_001129013	675	404.174	0	0
NM_058288	693	421.876	0	0
NM_058289	486	224.511	0	0
NM_001306285	7137	6863.66	0	0
NM_001306286	5106	4832.66	0	0
NM_001026605	960	686.663	0	0
NM_058294	957	683.663	0	0
NM_058301	3780	3506.66	0	0
NM_058302	336	99.8366	0	0
NM_058305	1278	1004.66	0	0
NM_058307	1644	1370.66	0	0
NR_101513	117	27.2353	0	0
NR_049904	21	6	0	0
NR_049905	21	6	0	0
NM_058308	222	38.9325	0	0
NM_058309	765	492.793	0	0
NM_001306291	456	197.663	0	0
NM_001306288	867	593.964	0	0
NM_001306287	906	632.78	0	0
NM_001306290	561	294.01	0	0
NM_001306289	972	698.663	0	0
NM_058310	1011	737.663	0	0
NM_058311	1263	989.663	0	0
NM_058312	1257	983.663	0	0
NM_001261901	1170	896.663	0	0
NM_182074	1068	794.663	0	0
NM_001306292	1791	1517.66	0	0
NM_058313	1929	1655.66	0	0
NM_058314	3279	3005.66	0	0
NM_001306332	588	319.652	0	0
NM_058315	2817	2543.66	0	0
NM_170793	2442	2168.66	0	0
NM_058318	1167	893.663	0	0
NM_001129071	1656	1382.66	0	0
NM_001129070	1695	1421.66	0	0
NM_058320	414	161.368	0	0
NM_058321	2868	2594.66	0	0
NM_058323	1752	1478.66	0	0
NM_001306303	555	347.798	1	3.30054
NM_058324	1335	1061.66	0	0
NM_058325	762	489.823	0	0
NM_058326	2139	1865.66	0	0
NM_058327	1572	1298.66	0	0
NM_001261918	1797	1523.66	0	0
NM_001261919	1800	1526.66	0	0
NM_058329	1929	1655.66	0	0
NM_001306333	1500	1226.66	0	0
NM_058330	1221	947.663	0	0
